txid,is_anomaly,anomaly_type,wallet_ids
c6fd1d208e514250a0fcaf5196d22f61,0,normal,
ae9de6aec502411e8dc75e3a5fd607bc,0,normal,
82af379d242e4d18b7a5b2c3e2ee400e,0,normal,
43daded77d684676a972ceb2e03f610b,0,normal,
7cee940141f44f059096815db12b69db,0,normal,
7814a101861f4c9bb5164af383721aa9,0,normal,
e578f22d0f054ff2bb0af5d3b42cb184,0,normal,
c74787cd8f8f4b15b4bd17c6eb19164f,0,normal,
04b4a7e60cfd4a16893dcc4ba0aaf433,0,normal,
8f5817a386ee468d90f29dcc4c79eea6,0,normal,
b7913488475345ddbaf6fb1982236e97,0,normal,
c9e1379bb1d44db8aa33708f675540af,0,normal,
de026671d961499da58dd9ecc0fb2ca8,0,normal,
6673c3bc6a884c24b396e1fe78babe01,0,normal,
719aaefd313a453997dfe4b83b97720f,0,normal,
348b56a25c1b40039ea4d33dfd89c9f8,0,normal,
3391398f8c8149c2989461aed7d0398e,0,normal,
298fc30965dd4f5cae89db0940442bf2,0,normal,
89d12fc6edc34ba18acc38ec0ac5884e,0,normal,
18b6ccc65cfd43d08c07e88cc2cc6af4,0,normal,
8fc8d5001ca944fbb005c09fd22400af,0,normal,
f1ebf1cb35b04f5cb4f40cfe1c247a91,0,normal,
05a3fa02e05040629cdb18b24f331acd,0,normal,
83ddeb18716b4b0da5c7ed5bd89a0539,0,normal,
b3b3ccc928df4d67bf1d9f15c41b5cfd,0,normal,
dcc0cd30be344d9782c795a171c1b3db,0,normal,
e54729555d0348f4bbcd06baa176e0c9,0,normal,
5c4c7d3a49c3456487d3b32672e211d2,0,normal,
b1eb61df55e7454ebd2796009245f51c,0,normal,
033edfb3e44f40e0b48d4b0048a0b659,0,normal,
824fb379632e4a48bf0e23105ad64e32,0,normal,
ed3e0aab5b5c4816af16e62b90213e30,0,normal,
b2a3455e22ae4f07a8952186750384e6,0,normal,
449a69f3d3744660bd687f170e37ef44,0,normal,
24be310e452d4157921d1eb4000c3e38,0,normal,
9f5eb7f3796e4ebab3cf722d5a181d14,0,normal,
e9e1ea6162dd4480894d335942182f59,0,normal,
038b2e578870417e98c0a40433569d1b,0,normal,
2abaf6843b7a4b63b1c2327dd0ae18a0,0,normal,
d01d56358c51449f9c835a728774bf89,0,normal,
64c8f021099d47e6aba738c83c228a52,0,normal,
78a2ee01cd6d4abba4abbb745eaca420,0,normal,
51de81c537294720b93b3ee2ee0db1de,0,normal,
85e5dc2ca76a4e0290acda78f28b8397,0,normal,
218b2211d55244679fdc912a3484f632,0,normal,
d0a5ac7fff4c447aa56307386deeb688,0,normal,
10b78c4d19b24560a889d92303d9bac2,0,normal,
12eb84ab79c84b8c8d7c38726e81b304,0,normal,
bb5428f2bfc1436a8fbb5ef57de757de,0,normal,
f731ca6675b947e08174cd605e0716ba,0,normal,
1bc3030da4cc4cce892fc66fe7e7758f,0,normal,
93a10a39008a4f4abc405841640c53b6,0,normal,
60b5c5db37e24ede8959a0581bcbcbe2,0,normal,
ef9f52eee7824eb1b8fbad2505e0ef1c,0,normal,
c8d8f4f61ad94beca2eef42c2376e1e1,0,normal,
0d8ead2f1bf041bebf83641a92e681f7,0,normal,
337e577dbd28411689dc47a80b8f0508,0,normal,
0ac6f577201e4bd786b44098545aa3ad,0,normal,
5fe6b28b58ed4d988c76c4c241d87f12,0,normal,
48a26d99887a4c19bdbf2f16082dbd79,0,normal,
6b407486451f4e06a91e97063cce2ba8,0,normal,
14205af2fdb74372a31533cf4c3360a9,0,normal,
a2cb145dea284d4a90e3c2a0708c9f3d,0,normal,
1e7408e1eb2c4e5bb1e833e03bf916ce,0,normal,
c44c1f8a3c614ce7b3774bf5d0ff4449,0,normal,
