txid,geo_country_resolved,asn_resolved,n_inputs,n_outputs,n_unique_input_addresses,n_unique_output_addresses,total_input_btc,total_output_btc,input_output_ratio,fan_in_5plus,output_min_max_ratio,fee,fee_ratio,input_addr_is_recent_output,minutes_since_addr_last_output,first_input_addr,sender_tx_count_1h,sender_tx_count_24h,sender_time_since_last_tx_min,sender_distinct_asn_last10,sender_distinct_ip_last10,sender_amount_zscore,is_anomaly,anomaly_type,wallet_ids,canonical_wallet_id
80ebd91c44ee414aa98d06b1d729742a,DE,DIGITALOCEAN-ASN,1,1,1,1,0.01029868,0.01027921,1.0018941144309728,0,1.0,1.947e-05,0.0018905335441046817,0,-1.0,1c7acd59fd6d34f1ea43af243495633,0,0,-1.0,0,0,0.0,0,normal,,199
b20a6dd4b26b4f678c60f1c6f757d010,BR,V tal,1,2,1,2,0.06299752,0.0629441,1.0008486895515227,0,1.0,5.342e-05,0.0008479698883384616,0,-1.0,30f96a334544844d48b72ab48f00109,0,0,-1.0,0,0,0.0,0,normal,,305
a2657cee9a3042d4898b14c4b6af9e22,IN,Bharti Airtel Ltd. AS for GPRS Service,1,2,1,2,0.038761,0.03862596,1.003496094336555,0,1.0,0.00013505,0.003484172234978458,0,-1.0,1d3a97f3c57714f05b06fe3a6c8c851,0,0,-1.0,0,0,0.0,0,normal,,732
835cda5732f14c04a2e91db1a36ef81c,FR,OVH SAS,1,1,1,1,0.06464213,0.06458668,1.0008585361563718,0,1.0,5.545e-05,0.0008577997043104859,0,-1.0,10bbe3f287e2b4383bcd5f30706eb9d,0,0,-1.0,0,0,0.0,0,normal,,320
c6bb645915624fa8a3526396a5c8a9de,US,COMCAST-7922,3,1,3,1,0.09370139999999999,0.09358925,1.0011983213884073,0,1.0,0.00011215,0.0011968871329563913,0,-1.0,bc1q4b93262cf54e4981baaec94cd0f0da,0,0,-1.0,0,0,0.0,0,normal,,779
fc3879c1e5a44c218f922f97a3b216b6,KE,CKL1-ASN,1,1,1,1,0.0507924,0.05068886,1.0020426578936674,0,1.0,0.00010354,0.0020384939479134675,0,-1.0,3607d3b379a14451f877f7025be23f3,0,0,-1.0,0,0,0.0,0,normal,,439
4f7391487d894ba2828642c105c9364d,US,OVH SAS,1,1,1,1,0.02498257,0.02487701,1.0042432752167563,0,1.0,0.00010556,0.004225345911169267,0,-1.0,36596d7a854074769b0eb53c11d6dc7,0,0,-1.0,0,0,0.0,0,normal,,748
6a2eb12f59fb4c2b8519e3ccc26ef21a,GB,Datacamp Limited,1,3,1,3,0.0056286,0.0056021099999999996,1.0047285754831663,0,1.0,2.648e-05,0.004704544646981487,0,-1.0,37e4221bad48d452c95f1d27c9c755a,0,0,-1.0,0,0,0.0,0,normal,,254
7814a13a510c42919efba22a060052cc,BR,V tal,1,1,1,1,0.10678871,0.10645328,1.0031509597449697,0,1.0,0.00033543,0.0031410623838418875,0,-1.0,bc1qd3d4ac638e7a4d558e605a95388d56,0,0,-1.0,0,0,0.0,0,normal,,297
adcb4edbec8f400097403f63b682e640,US,COMCAST-7922,1,2,1,2,0.0236646,0.02364118,1.000990644291021,0,1.0,2.342e-05,0.00098966388614217,0,-1.0,1f980de869ab547b2a49e6998c3ded2,0,0,-1.0,0,0,0.0,0,normal,,168
