txid,is_anomaly,anomaly_type,wallet_ids
67085f62bc6446f8bf025294b2f6cd8c,0,normal,
942fb2048d4d449883cac65e35935d2a,0,normal,
3039e1ef1af64d52912f02779bc6923d,0,normal,
a241ee1ead7744fd905109b8eed9686e,0,normal,
8844eae0007d45abbfaf334393409e1b,0,normal,
30415b173ece46e8a44c967e0a7dc4c4,0,normal,
25a65fe5041a4ca7bac7f021f89b7eef,0,normal,
876e42809dac4e69b4cd6a300071e930,0,normal,
ee2f2442a32b4c10a94e789e341ec5fc,0,normal,
72de3db9400a496a8d667973c294364e,0,normal,
b8c437fe473c4c2a86c256ccbf365598,0,normal,
1a91072f8eb74fc38cbd40e8c940bb27,0,normal,
0c6a545a50b14322967818b32af16807,0,normal,
70a64f700ef240fcb64f8adbf8fd803f,0,normal,
30d55a04e2af43048e0fd189be004eef,0,normal,
14dbc6fd8dfe467d98545d33d873b365,0,normal,
0128a537606442b3892ae0f633768fe5,0,normal,
01405d93a1f543c7bd5a39d7a7d32281,0,normal,
c1d75513f3b14fd78c54feb85d2d63e0,0,normal,
3c9b9a10e46048d588aed29b3e0c7ec8,0,normal,
95dad385ab3148b483e16b3efb660203,0,normal,
30e55e9636eb452ca0391e20561140ef,0,normal,
d13e270e040d43c3a364fe36c59568fb,0,normal,
f1b2d5ef2b7849d28f94b4655d125e40,0,normal,
ae15929a0ce14b46b09fe676ee56be33,0,normal,
a743984858344c84ba2219a444dc7851,0,normal,
65a6dae90f3b42a38b304ddd49c5e2f5,0,normal,
f56bd47e8d11488c9ee722d3f104314c,0,normal,
1655bcf7bc294d99b34730b9c1b811f8,0,normal,
d156ee8f37064e29ad3040740d38d114,0,normal,
a0557cc7e2c64c47b4d3e05f509717bd,0,normal,
904eed7f7e84423c888ad20cd631bc97,0,normal,
67655fe956974b7dbd0c6e24bd4c9862,0,normal,
23cf47fcc39e463f9bc497550cd0971f,0,normal,
b493e9cb971d4a4e8f8c0d4c86295ea1,0,normal,
492dbcea9bcd401dbe6144eda912dfe1,0,normal,
7b21ec8968fe4f238592ed0e6a2ae762,0,normal,
15c35dd774a644b0b41ca84c4b8679ab,0,normal,
2c75373106a04ed0bd131ac90e815b33,0,normal,
7e1bd2ca15d545d5a887c36aa0afc7ea,0,normal,
fbff25f593b2460ba9e521427b635a2c,0,normal,
26d36f19064448c1b765e26142350a2a,0,normal,
2a5ccb32530046658b6ff39d95b83613,0,normal,
