timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn
2026-06-01T00:04:36.725175Z,154.241.4.143,206.213.229.55,33462,8333,1f7bdb47975942a1b35e4a21abf9b2d5,"[""169b7a3247e774edbbfe7858345026d""]","[""1a130e363bb8845faa604b79feadc1e""]",[0.20163206],[0.20116455],0.00046751,P2PKH,US,AS16509
2026-06-01T00:06:09.229168Z,199.216.139.45,161.67.169.175,56067,8333,13acbe9a032b4e09bd5720111535ba72,"[""bc1q91beb96362cf4533b092bb4d5eaa5b""]","[""1e324a3b63f064bb6a84e7e4bba1d7a"", ""bc1qc91e704c11974724be10ea9f0e8904""]",[0.18219274],"[0.09088904, 0.09088904]",0.00041466,P2SH,JP,AS4713
2026-06-01T00:11:08.263897Z,30.185.29.33,175.214.3.129,38077,8333,04fe050691584b9ab0f69d2d430968ae,"[""bc1qfcc0940db820483baca5e30e778272""]","[""3fd95650bbb894a1994107bbf4dd5f3""]",[0.03231918],[0.0322741],4.508e-05,P2PKH,IN,AS24560
2026-06-01T00:29:54.413977Z,207.49.248.228,215.58.56.255,19036,8333,f723c975b3cd4ff2b7b4355190a05f1f,"[""bc1q43a0a125e73b4c5b80700f3eabff31""]","[""30c6867fac1c54fe093e6955d1f6d36"", ""128451947936f44c392f0543b84c86c""]",[0.16425828],"[0.08201969, 0.08201969]",0.00021891,P2PKH,US,AS16509
2026-06-01T00:55:57.794371Z,172.106.87.94,178.148.105.239,52190,8333,909d50f260eb4446bc65cdffa7f7d08c,"[""bc1q72c8ef129d26437bb98af96c4ebfb7""]","[""bc1q33239c85a55944ae86c331b994514d""]",[0.02826159],[0.02820891],5.268e-05,P2SH,RO,AS9009
2026-06-01T01:15:12.222588Z,222.18.137.123,198.68.14.60,34500,8333,49ff146b5f3a4cd3866d573651709bb2,"[""bc1qf8fb546489a344b78e4e83c830b27c"", ""3c6a17a8e201349f5897d8b11119e77"", ""bc1qfd9bf0df8644484191e142655a1b8a""]","[""17b070eeff92f4953a71c9be0a84814""]","[0.00987817, 0.00987817, 0.00987817]",[0.02953269],0.00010183,P2SH,FR,AS16276
2026-06-01T01:32:41.640775Z,170.40.218.51,118.8.226.245,51821,8333,11404f691eab4d65bea73b41291d35a2,"[""329ff77c6a1474d48bf6c936db0b2de""]","[""bc1q3636bcf3f36e4bf59dbf615c999591""]",[0.08278788],[0.08270339],8.449e-05,P2WPKH,US,AS7922
2026-06-01T02:22:22.726642Z,181.198.76.172,208.77.106.112,50620,8333,0eaedec453b8431fb13b6e9496425d87,"[""bc1qb3043093d7904ca8bfdd045325fb6f""]","[""bc1qa7d1ecea4fca4adbaac2d1972374e8""]",[0.03297297],[0.03288393],8.904e-05,P2PKH,NL,AS60068
2026-06-01T02:28:56.616737Z,194.108.246.245,223.254.215.4,36829,8333,97c1554cef844bbdadd124eea3176bbf,"[""36f7b5379a52a496985915f6c899357""]","[""1b9d77de8e7d84a579ee9b7c4f1c0bb""]",[0.04101952],[0.04088579],0.00013373,P2PKH,IN,AS9829
2026-06-01T02:33:00.415294Z,90.2.235.24,186.153.196.215,55423,8333,f0a279658f91451187946b11c60c60b3,"[""3da87ab268ae244c1a975948417c05a""]","[""bc1q58d0c85824a94595943588643f0c06""]",[0.00792799],[0.00791118],1.681e-05,P2WPKH,US,AS14061
