txid,sender_wallet,anomaly,anomaly_score
d4a2481d33904e1ab5948070ab5dfd7e,101c405f4e0d2421bb3e03acaf774e0,1,0.22245449986469357
c60dfdf715a441cca77169f5d6242d9c,101c405f4e0d2421bb3e03acaf774e0,1,0.2092163385522906
7c774c445033443d8c431ef06817f137,101c405f4e0d2421bb3e03acaf774e0,1,0.23720055734020296
221feaffafe0435c9626f42d46ab70d9,101c405f4e0d2421bb3e03acaf774e0,1,0.11950685897564828
60678c7d4872434db1ef5b877f1c83ae,101c405f4e0d2421bb3e03acaf774e0,1,0.239504115899833
8fd53d0d1df941a8acc189d4c4f459bf,101c405f4e0d2421bb3e03acaf774e0,1,0.08620883784453859
d88bd664d3ba428f84a9151e85a2bef1,101c405f4e0d2421bb3e03acaf774e0,1,0.1986101323304651
0bff0cf725ba4a91afa84fdca154a93b,101c405f4e0d2421bb3e03acaf774e0,1,0.1689997416633755
aa26fe66813c4b92a2f3540cb64702d0,101c405f4e0d2421bb3e03acaf774e0,1,0.2419967748313832
43df2db54ac546669488bf9345efc4d7,101c405f4e0d2421bb3e03acaf774e0,1,0.19679938114858186
ffeeb359e92d460b87c7d380eac3a84f,101c405f4e0d2421bb3e03acaf774e0,1,0.24306033376047148
ca9ed4168cb04ad3afba85e6de30220c,101c405f4e0d2421bb3e03acaf774e0,1,0.16718520573401002
d5e466daaea44fda9b4a0f6066c55205,101c405f4e0d2421bb3e03acaf774e0,1,0.16742299691103973
7f711ccb2d074a7ca9b579132c83a051,101c405f4e0d2421bb3e03acaf774e0,1,0.1925484964107323
a194cc10fd8f46cb93d8043b218d35a7,101c405f4e0d2421bb3e03acaf774e0,1,0.238986573887226
ef69c6b8fd574a40b084141bf63b450e,102cee088b569440eb7db2cc15cb69d,1,0.24449906306218577
470c7cbef4aa44cea70f901a14a53c0e,102cee088b569440eb7db2cc15cb69d,1,0.24140914392840812
19cf4044879d4743877dd60f035c26e5,102cee088b569440eb7db2cc15cb69d,1,0.18310633291768313
c4f9be6543394e7b8de3ef3f8e2d9ee0,102cee088b569440eb7db2cc15cb69d,1,0.19250293922669287
de663b400bf14947a17f49b91c8c97f9,102cee088b569440eb7db2cc15cb69d,1,0.23994970903325735
71cf8a36f3ba4e45a790279f730a80c8,102cee088b569440eb7db2cc15cb69d,1,0.2365664864836346
9e586514f959416e8d767252e392d51c,102cee088b569440eb7db2cc15cb69d,1,0.1813900266404232
78421295eb264897823874eced9a2f1d,102cee088b569440eb7db2cc15cb69d,1,0.09791635507032093
cad4490e8b934dc6a074600e2bffb14d,102cee088b569440eb7db2cc15cb69d,1,0.23656221447582543
8d981c5acf5740e398ae0b1414c19d59,102cee088b569440eb7db2cc15cb69d,1,0.23838704143259987
eeecf98d637445e18a6249922b4c5bf1,102cee088b569440eb7db2cc15cb69d,1,0.23476340781627775
ddc4913d9ec543cfb17734f71e58ea54,102cee088b569440eb7db2cc15cb69d,1,0.12512508682955586
