wallet,transaction_count,incoming_count,outgoing_count,total_incoming_btc,total_outgoing_btc,avg_transaction_amount,avg_time_gap_minutes,unique_counterparties,fan_in,fan_out,unique_ips,unique_asns,rapid_transfer_ratio,split_ratio,merge_ratio,max_amount_ratio,outgoing_small_amount_ratio,asn_change_ratio,max_transactions_in_5min,peeling_chain_consistency,tx_anomaly_count,tx_total_count,tx_anomaly_score_mean,tx_anomaly_score_min,tx_anomaly_score_max,tx_anomaly_ratio,profile_deviation_detected,peeling_chain_detected,actual_anomaly,if_anomaly_score,if_score_normalized,xgb_probability,risk_score,risk_level
bc1q242c89d01d9043e39598951a0ecf64,40,26,14,0.7491376999999999,1.13761292,0.0471687655,3182.269979305983,16,9,7,50,8,0.0,0.1428571428571428,0.0,2.121372758778362,0.0,0.7948717948717948,1,0.6153846153846154,0,14,0.2184127426773609,0.1102215842368049,0.2435910512382242,0.0,0,0,0,-0.07734204645688686,0.19020850387131458,0.0055248304,0.05954872469057228,LOW
352c12ac6620c4a19873ed7752f35b8,45,20,25,1.1930957400000002,2.65758583,0.0855707015555555,2711.2536495844697,37,10,27,69,11,0.0,0.24,0.1,4.322662851630927,0.04,0.8181818181818182,1,0.4583333333333333,0,25,0.1394989499456471,0.0011433627663278,0.2409191286401998,0.0,1,0,1,-0.0008105231166511961,0.3787076369345121,0.968251,0.6493252246206979,HIGH
18aa0648b139b40d6b43ca8d80b5c48,24,7,17,0.21455228,1.7328753199999998,0.0811428166666666,5691.311970705072,15,4,11,28,3,0.0,0.3529411764705882,0.1428571428571428,1.3678719511764414,0.1176470588235294,0.5217391304347826,1,0.375,0,17,0.1914038516184744,0.0302830719644601,0.237806480662265,0.0,0,0,0,-0.13835276488773268,0.03993751709571183,0.004000998,0.013781704228105249,LOW
1ddf86c76fb6a41d1985ef76910cd73,23,11,12,0.47062122,0.25951991,0.0317452665217391,5689.588735317425,13,6,7,29,4,0.0,0.25,0.0909090909090909,6.259057125731938,0.0833333333333333,0.5,1,0.1818181818181818,0,12,0.1982324217567118,0.0231892800675321,0.2428694046037907,0.0,0,0,0,-0.1341510933949308,0.05028634329492996,0.012127828,0.020543425336048454,LOW
bc1qc68d8a3ba55047a28245c31b567cd2,27,10,17,0.47250048,3.37665779,0.1425614174074074,4456.997276355769,26,8,18,36,7,0.0,0.5882352941176471,0.0,1.5175632747860093,0.1176470588235294,0.4615384615384615,1,0.3125,0,17,0.1268239393363488,0.0347730966678743,0.2105684451811084,0.0,0,0,0,-0.08950426433891978,0.16025264481050805,0.035460994,0.0640332402120323,LOW
3a5d4e20d578f44878e520041415815,17,3,14,0.1233443599999999,1.0975020599999998,0.0718144952941176,6897.719512757292,17,2,15,20,1,0.0,0.5714285714285714,0.0,1.4819220639377595,0.2142857142857142,0.0,1,0.3846153846153846,0,14,0.1782884815022518,0.0289453097856784,0.2372296161106033,0.0,0,0,0,-0.09710260912731455,0.1415377239149681,0.054088388,0.06680109179800364,LOW
3ced030daacd743e6b8d45530a27358,30,13,17,0.55270156,0.4149903300000001,0.0322563963333333,4178.317191947127,29,12,17,38,6,0.0,0.4705882352941176,0.2307692307692307,2.8522646905760585,0.1176470588235294,0.5862068965517241,1,0.375,1,17,0.1954811687889566,-0.0358059389660238,0.2409264175050602,0.0588235294117647,0,0,0,-0.08234058543926376,0.17789697231363447,0.022934195,0.0636894794747567,LOW
1621554a601c84f40a77de7b152d9d8,36,20,16,0.6930268999999999,0.1651154,0.0238372861111111,3641.3961809138095,24,10,14,44,4,0.0,0.5,0.1,8.847536549086628,0.0,0.7142857142857143,1,0.6,0,16,0.1786248886946954,0.0722504520595443,0.2404071655753007,0.0,0,0,0,-0.1347538056002353,0.04880184745285155,0.06144085,0.042288936124721885,LOW
bc1qd4310c51d5334905acd3060b252cf4,31,21,10,2.23951148,0.8868044799999999,0.1008489019354838,4196.580431426667,19,12,7,40,5,0.0,0.3,0.1428571428571428,3.5156806854079377,0.1,0.6666666666666666,1,0.2222222222222222,1,10,0.1707934268009268,-0.0007784451721953,0.2399594476354748,0.1,0,0,0,-0.0717039035708385,0.2040953964839408,0.010717594,0.06605153622776357,LOW
bc1qeee47ae43b3a47418418aaf35dc112,25,10,15,0.40052226,0.49759157,0.0359245532,4831.215282365972,21,7,14,29,2,0.0,0.5333333333333333,0.2,1.5899197720464355,0.0666666666666666,0.2916666666666667,1,0.5,0,15,0.1949803392545792,0.0292419513547478,0.245506924101738,0.0,0,0,0,-0.13732016831495691,0.042480829318923906,0.009977069,0.017233929547835335,LOW
