txid,is_anomaly,anomaly_type,wallet_ids
08bb7ecf0c0d42a6aa5a1a1b34ca2d6e,0,normal,
730bdadda42b4db59322f61094587d7b,0,normal,
885c4d021d064fb587e01b57794f2b4d,0,normal,
9f2d5f2161d54cbab4ae4a4d6ac3fef7,0,normal,
4382ec3769864ebe8c22089c037164a2,0,normal,
f438c421b1114b9e89fa71754ed703c9,0,normal,
c05f49a02d7448ae837440cc855b0618,0,normal,
3f844d38640f4d8782945d1d38378e1c,0,normal,
43076902ab9b4b85b3f8e5b7b2f3f199,0,normal,
680204c0f01b4e129a2610c3ff7b2dd6,0,normal,
5aa5e6c569284c27aa2f2f84c24b0e1e,0,normal,
17095cdd92124440a89b34d36fc0f0ea,0,normal,
ad0ec72272f74ed3ad741d46c918cc95,0,normal,
4adbd477f4784f78b9328fc60b9d7125,0,normal,
a84ffd9e05864176966c565f1aad6630,0,normal,
1471c3f5d98f42089f05799350c841e8,0,normal,
52dd1210af8941cbb8f80423d3676796,0,normal,
f79ce4d0e5ee4b19bdfd03272d8567a6,0,normal,
af68f8f651f04d9a8df9e2a6ce8cdb14,0,normal,
aad9115a45494748b0fbad3cf567e397,0,normal,
2860229d87b041f69562572f989032af,0,normal,
093f634e037d4a3cbca452bab48baf17,0,normal,
881b4e6c9b1247b18d9c179655286210,0,normal,
ca241f33aead4a3f9d984cae8ff2fe87,0,normal,
fe4ae5e4365540468bf3dda65b882d69,0,normal,
bf62bf5bd5f44cea96934bd096ba35b8,0,normal,
0a80f8b0d1a1470b9ad0a64b212f72d5,0,normal,
2effc236763c47fb94a46140b6f579bc,0,normal,
161289c0814a4314b807d4819ee69498,0,normal,
c33431ceab7d4a1590624e6f122547a2,0,normal,
e95ead7d9adf46f19f06fbe4b266831f,0,normal,
5656e76a574c428c8804bb9276a09067,0,normal,
349716b11789485facff523b7a94a0eb,0,normal,
37db2f33bbe34f6795c9c3a11abe03ff,0,normal,
b17bfffc554b41568ce22528d876d33d,0,normal,
782aa9b8f66d4ddfa52ff8d2690e4380,0,normal,
81838d7cf32b471ba799dc3f97c2587e,0,normal,
31beebe3b19949e0bf40dbcd3380187a,0,normal,
a1cde965778c41d0aba300a2d831b0ab,0,normal,
1a8e4ee42eea4afeb848acba54c37d1f,0,normal,
da68b10c3b1f43148476bdc7f7bcdb88,0,normal,
7b2a76371c8d46599f355eabfccd829e,0,normal,
203df66cb0ac478fb0d252d06f269a0e,0,normal,
